energy,silent_ratio
609187012.0,0.27927083333333336
1642960559.9999998,0.3441666666666667
2358446647.0,0.3023958333333333
1439995775.0000002,0.8228125
2720026363.0,0.6775
4554909649.0,0.2790625
192851201571.00003,0.7694791666666667
49392424592.00001,0.6747916666666667
97871365794.00003,0.26645833333333335
3671406150.0,0.6934375
2943552772.0,0.77875
3049192261.0000005,0.2582291666666667
2812692820.0,0.2652083333333333
2037888899.0000005,0.6867708333333333
2473290308.0,0.7725
2541412304.0,0.3591666666666667
88634740234.0,0.7389583333333334
466294370012.0,0.28052083333333333
377581901500.00006,0.4175
121836378427.0,0.3258333333333333
3146752074.000001,0.889375
3366796069.0,0.12041666666666667
3203003486.0,0.6359375
2799567462.0,0.7889583333333333
2417539542.0,0.153125
